2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,대분류,구분,IPC코드
802.0,1018.0,1151.0,1303.0,1563.0,1691.0,1590.0,1381.0,1383.0,1216.0,1206.0,1150.0,1049.0,1181.0,1146.0,1297.0,1118.0,943.0,984.0,1106.0,1147.0,945.0,1011.0,1139.0,1148,F,F25 냉동 또는 냉각; 가열과 냉동을 조합한 시스템; 히트펌프 시스템; 얼음의 제조와 저장; 기체의 액화 또는 고체화,F25
59.0,56.0,43.0,35.0,44.0,56.0,90.0,82.0,82.0,121.0,127.0,120.0,142.0,207.0,138.0,195.0,198.0,121.0,160.0,231.0,157.0,134.0,124.0,165.0,204,F,F26 건조,F26
151.0,163.0,154.0,151.0,88.0,60.0,88.0,108.0,73.0,163.0,180.0,200.0,237.0,202.0,263.0,206.0,197.0,111.0,172.0,122.0,153.0,147.0,154.0,204.0,316,F,F27 노(furnace) 킬른(kiln); 오븐(Oven) 또는 레토르트(Retort),F27
232.0,270.0,290.0,299.0,279.0,310.0,313.0,446.0,374.0,424.0,369.0,318.0,395.0,464.0,472.0,431.0,409.0,387.0,398.0,369.0,346.0,297.0,305.0,293.0,328,F,F28 열교환 일반,F28
2318.0,2567.0,2359.0,2499.0,2763.0,3164.0,4176.0,4844.0,5411.0,5377.0,5998.0,6585.0,7348.0,8161.0,8550.0,8959.0,8947.0,8396.0,8657.0,8741.0,9616.0,10791.0,10767.0,11706.0,12100,G,G01 측정; 시험,G01
2677.0,3577.0,4419.0,5326.0,6277.0,7502.0,8391.0,6087.0,4963.0,4227.0,4495.0,4397.0,3806.0,3976.0,4196.0,4390.0,3890.0,3031.0,2906.0,3013.0,2854.0,2627.0,2947.0,2467.0,2342,G,G02 광학,G02
897.0,1083.0,1186.0,1481.0,2088.0,2305.0,1685.0,1804.0,1538.0,1525.0,1481.0,1745.0,1920.0,1675.0,1878.0,1903.0,1979.0,2027.0,2087.0,1964.0,1930.0,2097.0,2138.0,2273.0,2328,G,G03 전자사진; 영화; 광파 이외의 파를 사용하는 유사기술; 영화; 사진; 홀로그래피,G03
309.0,242.0,241.0,265.0,341.0,324.0,269.0,453.0,395.0,288.0,410.0,645.0,671.0,501.0,547.0,498.0,628.0,817.0,999.0,1048.0,1096.0,1105.0,1170.0,1265.0,1298,G,G05 제어; 조정,G05
14890.0,9836.0,7647.0,8918.0,10116.0,11617.0,12326.0,13214.0,12763.0,12700.0,13603.0,15872.0,17531.0,20427.0,20325.0,19703.0,20449.0,19815.0,20262.0,21536.0,24223.0,29338.0,30709.0,30550.0,31023,G,G06 산술논리연산; 계산; 계수,G06
463.0,432.0,341.0,285.0,298.0,484.0,462.0,455.0,603.0,392.0,381.0,363.0,355.0,399.0,420.0,568.0,551.0,630.0,737.0,707.0,967.0,856.0,767.0,689.0,681,G,G07 검사장치,G07
438.0,458.0,507.0,686.0,685.0,901.0,877.0,935.0,1000.0,970.0,1036.0,1096.0,1187.0,1043.0,1413.0,1686.0,1298.0,1419.0,1741.0,1958.0,1826.0,1798.0,1658.0,1805.0,1961,G,G08 신호,G08
1058.0,1256.0,1267.0,2024.0,2747.0,3288.0,3359.0,2350.0,2289.0,2216.0,2332.0,1926.0,2513.0,3130.0,2654.0,3050.0,2665.0,2433.0,2487.0,2632.0,2813.0,2652.0,2791.0,2914.0,3114,G,G09 교육; 암호방법; 전시; 광고; 봉인,G09
3022.0,3568.0,3625.0,4196.0,4850.0,4992.0,4374.0,3995.0,3035.0,2189.0,2183.0,2070.0,1794.0,1297.0,1250.0,1152.0,882.0,736.0,782.0,793.0,1003.0,1072.0,1101.0,898.0,954,G,G11 정보저장,G11
,,,,,,,,,,,,,,,,,43.0,1035.0,1220.0,1764.0,2380.0,2736.0,3035.0,3155,G,G16 특정의 용도 분야에 특히 적합한 정보통신기술,G16
119.0,102.0,110.0,134.0,138.0,153.0,216.0,261.0,294.0,285.0,315.0,422.0,523.0,480.0,483.0,464.0,392.0,357.0,392.0,418.0,482.0,499.0,402.0,495.0,545,G,G21 핵공학,G21
13656.0,14336.0,14239.0,16472.0,20131.0,23551.0,22914.0,22086.0,20283.0,17154.0,19001.0,19910.0,20113.0,21627.0,21770.0,21886.0,19568.0,19274.0,20409.0,20718.0,21811.0,23838.0,21879.0,23851.0,24054,H,H01 기본적 전기소자,H01
1397.0,1343.0,1555.0,1419.0,1900.0,2345.0,2625.0,2405.0,2776.0,2997.0,3378.0,3909.0,4322.0,4452.0,5162.0,5060.0,4650.0,4588.0,5127.0,5311.0,5496.0,5427.0,4857.0,5036.0,5206,H,H02 전력의 발전; 변환; 배전,H02
1141.0,1079.0,1057.0,888.0,1112.0,1211.0,1188.0,1252.0,1112.0,927.0,982.0,914.0,946.0,906.0,984.0,1072.0,1003.0,959.0,856.0,875.0,844.0,900.0,901.0,835.0,859,H,H03 기본전자회로,H03
11157.0,11841.0,12903.0,15676.0,21159.0,24482.0,21180.0,20498.0,19643.0,17253.0,16940.0,15328.0,15369.0,15964.0,16917.0,16209.0,15394.0,13872.0,13998.0,16872.0,15152.0,16212.0,17241.0,17332.0,17516,H,H04 전기통신기술,H04
1072.0,1422.0,1439.0,1864.0,2864.0,3509.0,3707.0,2919.0,3062.0,2572.0,2468.0,2723.0,2701.0,2926.0,2612.0,2752.0,2370.0,2125.0,2053.0,1975.0,2015.0,2341.0,2310.0,2379.0,2682,H,H05 달리 분류되지 않는 전기기술,H05
,,,,,,,,,,,,,,,,,,,,,,4958.0,5619.0,8826,H,H10 반도체 장치; 달리 제공되지 않는 전기 고체 상태 장치,H10
